Hospital_ID,Perc_Readmitted_30d,Perc_PrimaryCare_14d,Perc_Emergency_30d
10055,10.4,18.9,10.9
10139,11.5,15.2,12.6
30013,12.5,22.8,13.9
30069,9.0,16.6,12.8
30115,10.2,25.5,13.1
40027,12.0,22.1,12.9
50007,9.0,13.0,12.9
50056,14.2,29.9,14.1
50107,10.7,21.4,17.7
50146,13.0,7.9,9.8
50224,9.8,17.6,13.5
50280,9.8,21.2,15.7
50336,10.1,27.3,12.5
50441,10.6,21.7,14.2
50506,10.8,18.6,14.4
50624,17.6,20.7,19.9
50757,13.6,21.9,13.3
60024,14.2,26.0,18.8
70005,12.2,17.9,18.5
70028,15.0,18.2,16.9
90011,14.5,18.8,16.9
100026,14.8,34.1,18.1
100050,21.1,26.0,23.0
100075,13.7,21.3,13.2
100118,9.5,20.2,14.9
100176,15.3,29.0,16.3
100213,11.1,28.5,13.0
100246,15.4,23.9,16.7
100271,16.8,14.6,16.0
110002,9.9,18.1,12.6
110031,13.3,20.2,14.4
110082,12.5,13.8,17.0
110177,10.5,12.3,9.5
130006,10.1,13.3,15.3
140032,11.8,18.4,12.8
140065,12.3,34.3,15.8
140122,11.9,25.9,16.4
140176,13.6,25.1,16.1
140213,14.5,26.9,15.7
140275,10.8,24.3,17.5
150008,12.6,30.0,11.1
150037,6.5,21.1,15.1
150090,12.6,23.7,14.7
150162,15.1,14.8,19.7
160064,8.3,26.1,13.2
170013,12.3,33.5,15.3
170175,11.9,20.5,14.7
180027,11.5,23.3,14.8
180104,14.9,19.1,16.3
190026,12.8,13.7,14.9
190111,11.6,16.5,12.1
200021,10.2,0.0,14.5
210012,0.0,22.7,16.4
210034,0.0,19.3,18.8
220008,13.0,14.8,19.8
220066,13.1,20.7,16.9
220105,12.9,14.3,15.9
230019,17.8,24.3,18.3
230066,8.8,17.2,15.9
230130,14.4,21.0,18.0
230217,10.2,20.4,12.2
240030,7.9,23.9,11.8
240100,9.5,25.3,10.5
250048,12.8,19.2,15.4
260001,13.9,18.8,17.3
260064,9.4,18.9,13.5
260137,13.2,18.9,16.5
270004,11.9,21.3,15.4
280040,14.1,29.8,16.0
290021,16.5,27.0,18.5
300019,12.7,0.0,17.5
310014,14.9,25.0,17.0
310038,16.9,16.4,19.0
310064,15.5,23.1,18.7
310112,18.6,27.4,17.8
320085,15.1,25.6,16.6
330047,8.3,0.0,9.1
330104,22.0,19.1,14.8
330160,16.6,17.8,15.2
330198,18.9,23.2,15.1
330241,16.1,22.2,19.2
330306,20.6,22.4,20.9
340003,7.5,0.0,10.6
340038,6.6,11.4,10.1
340091,10.7,15.0,12.5
340142,10.3,21.0,14.2
350019,11.4,26.9,12.6
360025,13.7,23.2,17.1
360064,16.3,35.1,18.1
360086,13.4,34.3,15.7
360137,15.7,25.8,17.2
360185,9.2,0.0,12.0
370013,13.3,13.7,14.5
370078,17.5,34.8,18.7
380014,11.2,23.1,14.9
390001,11.1,19.9,13.7
390041,9.5,15.6,10.5
390076,14.1,28.4,15.7
390111,16.5,24.9,18.1
390162,14.8,26.6,14.6
390222,11.0,15.9,14.0
390290,20.6,14.9,18.5
420023,8.6,19.3,11.4
420078,12.4,17.5,13.7
430016,11.6,23.7,12.2
440035,13.0,23.0,12.8
440133,10.7,15.2,12.5
450010,11.3,25.6,15.1
450046,12.8,21.3,14.5
450104,10.6,19.5,12.7
450200,11.4,14.3,16.8
450346,13.6,17.3,18.4
450537,7.9,18.0,9.1
450647,14.1,15.8,15.7
450688,13.5,31.1,13.2
450824,13.1,19.1,18.8
460006,9.0,11.4,14.0
490005,13.8,19.3,18.4
490042,10.1,16.7,17.1
490075,11.2,13.7,14.4
500003,12.7,23.6,13.6
500030,8.1,17.6,13.3
500108,13.3,18.0,17.2
510024,9.9,20.5,15.9
520013,15.6,22.8,16.6
520066,9.7,23.4,9.5
520103,12.1,17.2,13.6
670024,12.8,18.9,17.6
